vis_index,icc_type,icc_value,F,pval,ci95_lower,ci95_upper
0,ICC2,0.10029498525073761,3.0731707317073207,0.03225363537492475,-0.01,0.51
1,ICC2,0.1334488734835356,3.3053892215568865,0.024527653177454607,-0.01,0.58
2,ICC2,0.10535117056856204,2.536585365853664,0.06203129220708362,-0.02,0.54
