model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.021093651078465468,0.11309705085915067,0.28639294197488974,0.10186757215619695,0.1194435018663047
GPT-4o,0.004653502506182466,0.07437297277383381,0.24267468069120965,0.0774436090225564,0.12321562734785874
Gemini,0.0004101631307949868,0.04856482762036595,0.14648356221389927,0.04914618908788005,0.07074490220557635
Grok,0.010283948064385446,0.09673089428456984,0.2764227642276422,0.09393491124260356,0.1271249076127125
Claude,0.012951877523452178,0.08810972807031363,0.26062717770034843,0.08507670850767085,0.11637630662020905
