,count,mean,std,min,25%,50%,75%,max
Hauptprobenummer,104.0,201600429.0,0.0,201600429.0,201600429.0,201600429.0,201600429.0,201600429.0
Ergebnis_num,66.0,69401.3926060606,493324.00951625203,0.0,0.03,0.19,2.6075,4000000.0
