vis_index,icc_type,icc_value,F,pval,ci95_lower,ci95_upper
0,ICC2,-0.007556675062972334,0.9548645937813438,0.46817302286174795,-0.13,0.46
1,ICC2,0.10992907801418456,2.190476190476193,0.09596747900082626,-0.04,0.57
2,ICC2,-0.0733695652173912,0.6102021174205973,0.6931701385852466,-0.17,0.34
