,count,mean,std,min,25%,50%,75%,max
kenn,167.0,94721392.0,0.0,94721392.0,94721392.0,94721392.0,94721392.0,94721392.0
value,167.0,0.17001796407185626,0.012258006016178864,0.149,0.1575,0.174,0.176,0.206
validated,167.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
