Hauptprobenummer,Bezeichnung,Probe_Entnahmeart,Probenahme_Beginn_Datum,Probenahme_Beginn_Zeit,Probenahme_Ende_Datum,Probenahme_Ende_Zeit,Umweltbereich,Messprogrammgruppe,Entnahmestelle,Herkunftsstaat,Methode,Pruefmerkmal,Ergebnis,Einheit
202300278,Kabeljaufilet,Einzelprobe,25.07.2023,11:00,25.07.2023,11:00,Seefisch,IMIS Routinemessprogramm,Fischgroﬂhandel (Ausland),Norwegen,Gammaspektrometrie (fest - FM),C‰sium-134 Cs-134,n.n.,Bq/kg(FM)
202300278,Kabeljaufilet,Einzelprobe,25.07.2023,11:00,25.07.2023,11:00,Seefisch,IMIS Routinemessprogramm,Fischgroﬂhandel (Ausland),Norwegen,Gammaspektrometrie (fest - FM),C‰sium-137 Cs-137,"1,58E-01",Bq/kg(FM)
202300278,Kabeljaufilet,Einzelprobe,25.07.2023,11:00,25.07.2023,11:00,Seefisch,IMIS Routinemessprogramm,Fischgroﬂhandel (Ausland),Norwegen,Gammaspektrometrie (fest - FM),Iod-131 I-131,n.n.,Bq/kg(FM)
202300278,Kabeljaufilet,Einzelprobe,25.07.2023,11:00,25.07.2023,11:00,Seefisch,IMIS Routinemessprogramm,Fischgroﬂhandel (Ausland),Norwegen,Gammaspektrometrie (fest - FM),Kalium-40 K-40,"1,08E+02",Bq/kg(FM)
202300278,Kabeljaufilet,Einzelprobe,25.07.2023,11:00,25.07.2023,11:00,Seefisch,IMIS Routinemessprogramm,Fischgroﬂhandel (Ausland),Norwegen,Gammaspektrometrie (fest - FM),Beryllium-7 Be-7,n.n.,Bq/kg(FM)
202300278,Kabeljaufilet,Einzelprobe,25.07.2023,11:00,25.07.2023,11:00,Seefisch,IMIS Routinemessprogramm,Fischgroﬂhandel (Ausland),Norwegen,Gammaspektrometrie (fest - FM),Cobalt-60 Co-60,n.n.,Bq/kg(FM)
202300278,Kabeljaufilet,Einzelprobe,25.07.2023,11:00,25.07.2023,11:00,Seefisch,IMIS Routinemessprogramm,Fischgroﬂhandel (Ausland),Norwegen,Gammaspektrometrie (fest - FM),Natrium-22 Na-22,n.n.,Bq/kg(FM)
202300278,Kabeljaufilet,Einzelprobe,25.07.2023,11:00,25.07.2023,11:00,Seefisch,IMIS Routinemessprogramm,Fischgroﬂhandel (Ausland),Norwegen,Gammaspektrometrie (fest - FM),Chrom-51 Cr-51,n.n.,Bq/kg(FM)
202300278,Kabeljaufilet,Einzelprobe,25.07.2023,11:00,25.07.2023,11:00,Seefisch,IMIS Routinemessprogramm,Fischgroﬂhandel (Ausland),Norwegen,Gammaspektrometrie (fest - FM),Mangan-54 Mn-54,n.n.,Bq/kg(FM)
202300278,Kabeljaufilet,Einzelprobe,25.07.2023,11:00,25.07.2023,11:00,Seefisch,IMIS Routinemessprogramm,Fischgroﬂhandel (Ausland),Norwegen,Gammaspektrometrie (fest - FM),Cobalt-57 Co-57,n.n.,Bq/kg(FM)
