,count,mean,std,min,25%,50%,75%,max
Hauptprobenummer,2.0,201700572.0,0.0,201700572.0,201700572.0,201700572.0,201700572.0,201700572.0
Ergebnis_numeric,2.0,3000.41,4242.060859558712,0.82,1500.615,3000.41,4500.205,6000.0
