Gemeinde,Anzahl
"Bad Oldesloe, Stadt",72
"Ahrensburg, Stadt",36
"Reinbek, Stadt",30
Jersbek,22
Travenbrück,19
Trittau,18
Großhansdorf,17
Westerau,13
"Bargteheide, Stadt",12
Grabau,10
