model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.013332539810374727,0.09656025564966399,0.20776166209329675,0.08160062769713614,0.10505684045472363
GPT-4o,0.004419786631972801,0.06935875137130934,0.19239177962396153,0.06564551422319474,0.11718408395277656
Gemini,0.006031592374830104,0.07149091170127454,0.1615814353244521,0.06279569892473119,0.08852599914052428
Grok,0.009092568950208943,0.09419251286586601,0.2365409071640526,0.10521849809079338,0.11275964391691394
Claude,0.014367301140077778,0.09223246450937717,0.23321554770318023,0.09194499017681729,0.10757754220651748
