model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.012418704858539218,0.07579413009125777,0.2654028436018957,0.10015814443858724,0.12006319115323855
GPT-4o,0.007267693453672318,0.06555850526245482,0.1995898838004101,0.07802874743326489,0.14764183185235819
Gemini,0.006944844665824917,0.0640238903087152,0.2103861517976032,0.084,0.12916111850865514
Grok,0.011670345933284046,0.08246115674617474,0.27537091988130563,0.11645870469399881,0.13649851632047477
Claude,0.011521817782788315,0.08135859586334994,0.2522715125601283,0.10807918673087212,0.11758417958311064
