value_variable_label,n,mittelwert,sd,minimum,maximum
Klassen,11,11,1,9,12
Schulen,11,2,0,2,2
Schüler,11,197.27272727272728,15.931672285676159,179,222
Unterrichtswochenstunden,11,321,26.115129714401192,285,374
Voll- und teilzeitbeschäftigte Lehrkräfte,11,13.818181818181818,1.0787197799411874,13,16
