variable,jahr,HBLEHR,UWOSTD,SCHUEL,KLASSE,SCHULE
jahr,1,-0.3913118960624632,0.8832281559558703,0.938693843489536,0.9045340337332909,NA
HBLEHR,-0.3913118960624632,1,-0.25913258687522334,-0.4099576648638967,-0.6489173676208705,NA
UWOSTD,0.8832281559558703,-0.25913258687522334,1,0.9128541802574668,0.8653987266062565,NA
SCHUEL,0.938693843489536,-0.4099576648638967,0.9128541802574668,1,0.8913063076728568,NA
KLASSE,0.9045340337332909,-0.6489173676208705,0.8653987266062565,0.8913063076728568,1,NA
SCHULE,NA,NA,NA,NA,NA,NA
