,count,mean,std,min,5%,25%,50%,75%,95%,max
KBR_WGK_TIS,163.0,6.239147239263803,2.9368310685119257,0.5233,1.4928000000000001,4.4695,6.07,7.9075,11.499,15.19
KKB_WGK_TIS,168.0,6.299308333333333,2.7487571437178153,0.7328,1.8711,4.6555,6.1065000000000005,7.638249999999999,11.538,16.49
KKK_WGK_TIS,168.0,5.978178571428571,2.483463682065206,1.076,2.5169499999999996,4.30275,5.54,7.4087499999999995,10.5355,14.91
