,count,mean,std,min,median,max
statistics_code,65.0,31121.0,0.0,31121.0,31121.0,31121.0
time,65.0,2019.323076923077,3.077680195311947,2014.0,2019.0,2024.0
1_variable_attribute_code,65.0,9375201.0,0.0,9375201.0,9375201.0,9375201.0
value,65.0,6.369230769230769,7.1601528238954835,1.0,4.0,32.0
