model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.016098286066026667,0.11506458312370793,0.22598001537279014,0.06928406466512702,0.08147578785549577
GPT-4o,0.006769028431158833,0.07242596147704046,0.1798201798201798,0.062062062062062065,0.12787212787212787
Gemini,0.021000772642607426,0.10154641694398077,0.19646017699115043,0.07446808510638298,0.11327433628318584
Grok,0.010200232673711705,0.10001753212923915,0.20194174757281552,0.07392996108949415,0.1262135922330097
Claude,0.016247537979489662,0.11273187617848998,0.19164265129683,0.05339105339105339,0.10086455331412103
