model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.015667726715933007,0.09456910996657096,0.27533783783783783,0.0989010989010989,0.12668918918918917
GPT-4o,0.0064803439112750775,0.07538298165180579,0.20754716981132076,0.08349900596421471,0.13505461767626614
Gemini,0.005029401813934705,0.06723808859191541,0.1873198847262248,0.06442307692307693,0.0989433237271854
Grok,0.015102759282810949,0.0934845426863123,0.26463808206546796,0.10982925703737886,0.13185799907791612
Claude,0.013363211740948957,0.08195681719237644,0.21882951653944022,0.08404074702886247,0.11365564037319763
