FID,id,kenn,name,geom,start_measure,end_measure,value,unit,validated,nuclide,duration
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3417,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-23T00:00:00,2025-02-24T00:00:00,0.096,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3415,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-24T00:00:00,2025-02-25T00:00:00,0.097,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3413,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-25T00:00:00,2025-02-26T00:00:00,0.1,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3410,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-26T00:00:00,2025-02-27T00:00:00,0.096,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-340e,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-27T00:00:00,2025-02-28T00:00:00,0.096,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-340d,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-02-28T00:00:00,2025-03-01T00:00:00,0.095,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-340a,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-01T00:00:00,2025-03-02T00:00:00,0.093,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3409,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-02T00:00:00,2025-03-03T00:00:00,0.094,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3407,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-03T00:00:00,2025-03-04T00:00:00,0.095,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3405,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-04T00:00:00,2025-03-05T00:00:00,0.096,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3404,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-05T00:00:00,2025-03-06T00:00:00,0.097,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3401,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-06T00:00:00,2025-03-07T00:00:00,0.097,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-3400,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-07T00:00:00,2025-03-08T00:00:00,0.098,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33fe,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-08T00:00:00,2025-03-09T00:00:00,0.099,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33fc,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-09T00:00:00,2025-03-10T00:00:00,0.1,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33fb,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-10T00:00:00,2025-03-11T00:00:00,0.1,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33f8,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-11T00:00:00,2025-03-12T00:00:00,0.098,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33f7,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-12T00:00:00,2025-03-13T00:00:00,0.098,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33f5,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-13T00:00:00,2025-03-14T00:00:00,0.098,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33f3,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-14T00:00:00,2025-03-15T00:00:00,0.097,µSv/h,1,Gamma-ODL-Brutto,1d
odlinfo_timeseries_odl_24h.fid-50d7254d_19c093c5c73_-33ee,DEZ1778,096761181,Dorfprozelten,POINT (49.78 9.38),2025-03-15T00:00:00,2025-03-16T00:00:00,0.096,µSv/h,1,Gamma-ODL-Brutto,1d
