,dtype
statistics_code,int64
statistics_label,object
time_code,object
time_label,object
time,object
1_variable_code,object
1_variable_label,object
1_variable_attribute_code,int64
1_variable_attribute_label,object
2_variable_code,object
2_variable_label,object
2_variable_attribute_code,object
2_variable_attribute_label,object
value,int64
value_unit,object
value_variable_code,object
value_variable_label,object
Jahr,int64
