model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.021890589240811328,0.12882930117594185,0.29373433583959896,0.11440040140491721,0.16040100250626566
GPT-4o,0.02308011630953403,0.10438237278215498,0.299687825182102,0.103125,0.16753381893860564
Gemini,0.0012210455230990274,0.05549151005431112,0.1529709228824273,0.05063291139240506,0.0922882427307206
Grok,0.023923701077925075,0.13441401552705107,0.3252032520325203,0.1190233977619532,0.16260162601626016
Claude,0.029604362292995078,0.12569241673649684,0.29559450497394596,0.11000474158368893,0.14969208905731882
