,time,value
count,11.0,11.0
mean,2019.0,18.818181818181817
std,3.3166247903554,9.620999759049804
min,2014.0,3.0
25%,2016.5,12.0
50%,2019.0,16.0
75%,2021.5,27.5
max,2024.0,32.0
