model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.01143651425960651,0.07719392541290035,0.16549165120593692,0.05050129966580022,0.06382189239332096
GPT-4o,0.0007926964856491363,0.03865344872689916,0.12213740458015268,0.041595925297113756,0.07888040712468192
Gemini,0.0017388603574920753,0.05062912227168749,0.11833333333333332,0.03419516263552961,0.06583333333333333
Grok,0.002593020189860302,0.06116758151341896,0.15689512799339386,0.050413223140495865,0.07597027250206441
Claude,0.009293849679272924,0.06666245488778064,0.1457875457875458,0.04765395894428153,0.06813186813186814
