model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.014866024357377904,0.08603951781664254,0.18163125428375598,0.06927297668038408,0.09458533241946539
GPT-4o,0.0035502166910716124,0.05610374843974044,0.13353917406406793,0.047122441096948624,0.08413739868776533
Gemini,0.0056674941184074205,0.06184508121124066,0.13744427934621098,0.049070631970260216,0.0787518573551263
Grok,0.008156051553938604,0.07922930384580092,0.17497231450719825,0.07092722571111933,0.08490217792543374
Claude,0.013704297166639984,0.08173895753137596,0.1802154750244858,0.07056517477948383,0.09859614756774404
