Objektnummer,Kulturdenkmaltyp,Kreis,Gemeinde,Adresse_Lage,Bezeichnung,Beschreibung,Begr_ndung,Schutzumfang,FotoURL
12654,Bauliche Anlage,Kreis Stormarn,Grabau,Ringstraße 8,Getreidespeicher,"Getreide-Hochspeicher des Gutes Grabau; um 1912; Bauherr: Gustav Lahusen; Ziegelbau auf quadratischem Grundriss mit geschossübergreifender Lisenengliederung, Zeltdach mit großer hölzerner Laterne","Geschichtlich, Kulturlandschaftlich, Städtebaulich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/12654.jpg
1260,Bauliche Anlage,Kreis Stormarn,Grabau,Ringstraße,Kapelle Grabau,"ehem. Grabkapelle; 1923/24, Architekt: Hermann Werle, Bauherr: Gustav Lahusen; einschiffiger, kreuzkrippengewölbter Baukörper aus Kalkstein mit polygonalem Chorabschluss, neugotische Formen mit späten Jugendstileinflüssen; mit Eingangspforte an der Zuwegung zur Kapelle","Geschichtlich, Künstlerisch, Kulturlandschaftlich","Kapelle Grabau, Eingangspforte",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1260.jpg
20833,Bauliche Anlage,Kreis Stormarn,Grabau,Ringstraße,Familiengrab Lahusen,Familiengrabstätte; 1918 bis 1939; fünf Grabstelen aus Naturstein für die Angehörigen der Familie Lahusen,"Geschichtlich, Künstlerisch",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/20833.jpg
45002,Bauliche Anlage,Kreis Stormarn,Grabau,Rosenstraße 4,"Stallgebäude, sog. Uhrenstall","Pferdestall und Remise; um 1910, Bauherr: Gustav Lahusen; eingeschossiger Ziegelbau mit hohem Halbwalmdach und Dachreiter, zahlreiche Fledermausgauben","Geschichtlich, Künstlerisch, Kulturlandschaftlich","Stallgebäude, sog. Uhrenstall, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/45002.jpg
45449,Bauliche Anlage,Kreis Stormarn,Grabau,Rosenstraße 4,ehem. Kuhstall,"Stallgebäude; Anf. 20. Jh.; langgestreckter zweigeschossiger Ziegelbau mit flachem Satteldach, ornamental gegliederte Wandflächen im Obergeschoss mit eingetieften Wandfeldern, Auffahrt ins Obergeschoss","Geschichtlich, Kulturlandschaftlich, Städtebaulich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/45449.jpg
45450,Bauliche Anlage,Kreis Stormarn,Grabau,Rosenstraße 4,Scheune,"Scheune; Anf. 20. Jh.; eingeschossiger Ziegelbau mit Drempel und flachem Satteldach, aufwendige hölzerne Tragwerkskonstruktion im Inneren","Geschichtlich, Kulturlandschaftlich, Städtebaulich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/45450.jpg
1968,Bauliche Anlage,Kreis Stormarn,Grabau,Rosenstraße 12,"Landsitz, sog. Schloss Grabau","Landsitz; 1906-1908, Architekt: Hermann Werle, Bauherr: Gustav Lahusen; zweigeschossige, burgartige Villa im englischen Landhausstil aus Muschelkalk unter Kupferdächern, Rückgriff auf die englische Neugotik des mittleren 19. Jh., Jugendstilelemente","Geschichtlich, Künstlerisch, Kulturlandschaftlich","Landsitz, sog. Schloss Grabau, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1968.jpg
1259,Gründenkmal,Kreis Stormarn,Grabau,Rosenstraße 4 - 12,Gutspark,"Landschaftspark und Villengarten; mindestens auf das 18. Jh. zurückgehend, mehrfach erweitert, u.a. durch Christian Roselius und Harry Maaß; rund 12 ha große Park- und Gartenanlage im „gemischten Stil“, der ältere, romantische Landschaftspark im Osten überlagert sich mit einem jüngeren, westlich davon angelegten Villengarten; mit Teich und zwei reetgedeckten Pavillons","Geschichtlich, Künstlerisch, Kulturlandschaftlich","Gutspark, Teich, zwei Pavillons",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1259.jpg
10867,Bauliche Anlage,Kreis Stormarn,Grönwohld,Bahnhofstraße 5 b,Röperkate,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/10867.jpg
1879,Bauliche Anlage,Kreis Stormarn,Grönwohld,Drahtmühle 13,Alte Drahtziehmühle,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Technisch",gesamtes Äußeres,
6280,Bauliche Anlage,Kreis Stormarn,Großensee,Fritz-Berodt-Straße 7,Hofanlage: Haus am Teich,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
7391,Bauliche Anlage,Kreis Stormarn,Großensee,Fritz-Berodt-Straße 7 - 9,Hofanlage: Einfriedung/Toranlage,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
7392,Bauliche Anlage,Kreis Stormarn,Großensee,Fritz-Berodt-Straße 7 - 9,Hofanlage:gepflasterte Hofflächen,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
7388,Bauliche Anlage,Kreis Stormarn,Großensee,Fritz-Berodt-Straße 9,Hofanlage: östl. Wirtschaftsgebäude,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
7389,Bauliche Anlage,Kreis Stormarn,Großensee,Fritz-Berodt-Straße 9,Hofanlage: westl. Wirtschaftsgebäude,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
7390,Bauliche Anlage,Kreis Stormarn,Großensee,Fritz-Berodt-Straße 9,Hofanlage:Unterfahrt,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
13457,Bauliche Anlage,Kreis Stormarn,Großensee,Pfefferberg 28,Pavillon am Wasserwerk,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13457.jpg
38543,Sachgesamtheit,Kreis Stormarn,Großhansdorf,"Eilbergweg 22-32, Waldreiterweg 143",ehem. Kinderheilstätte,"ehem. Kinderheilstätte; 1915, 1928, 1952; ehem. Lungenheilstätte bestehend aus villenartigem sog. Schulkinderhaus, Turnhalle und großzügigem Garten","Geschichtlich, Künstlerisch, Kulturlandschaftlich, Städtebaulich","Turnhalle, ehem. Kinderheilstätte, ehem. Schulkinderhaus, Park mit Lindenrondell und Teiche (Eilbergweg 22-32), Wohnhaus mit Nebengebäude (Waldreiterweg 143)",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/38543.jpg
54134,Sachgesamtheit,Kreis Stormarn,Großhansdorf,Hoisdorfer Landstraße 110,Landhaus Holst,"Landhaus Holst; 1921-22, Bauherr Detlev Holst; Gebäudeensemble auf weitläufigem, parkähnlichem, von A. Reimann angelegten Grundstück, im Heimatschutzstil errichtet; Landhaus Holst, ehem. Remise, Garten, Zufahrtsallee und Platanenreihe","Geschichtlich, Künstlerisch, Städtebaulich","Landhaus Holst, ehem. Remise, Garten, Zufahrtsallee (Platanen), Baumreihe (Platanen)",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/54134.jpg
27069,Bauliche Anlage,Kreis Stormarn,Großhansdorf,An der Eilshorst 17,ehem. Pension Eilshorst,"ehem. Pension Eilshorst; um 1900; zweigeschossiger Putzbau über Sockelgeschoss, teilweise Giebelfachwerk mit Sattel- und Kurzwalmdach, Seitenrisalit, Windfang, Standerker, Wintergarten","Geschichtlich, Städtebaulich","ehem. Pension Eilshorst, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/27069.jpg
26840,Bauliche Anlage,Kreis Stormarn,Großhansdorf,Babenkoppel 13,Wohnhaus,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich",gesamtes Äußeres,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/26840.jpg
26841,Bauliche Anlage,Kreis Stormarn,Großhansdorf,Babenkoppel 14,Wohnhaus,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich",gesamtes Äußeres,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/26841.jpg
28768,Bauliche Anlage,Kreis Stormarn,Großhansdorf,Eilbergweg 22 - 32,Turnhalle,"ehem. Turnhalle der Kinderheilanstalt; 1928; eingeschossiger Backsteinbau mit expressionistischer Backsteingliederung, flaches Satteldach mit Staffelgiebeln","Geschichtlich, Künstlerisch",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/28768.jpg
44763,Bauliche Anlage,Kreis Stormarn,Großhansdorf,Hansdorfer Landstraße 113,Wohnhaus,"Wohnhaus; 1910; zweigeschossiger Putzbau aus rechtwinklig verschränkten, traufständigen Baukörpern unter verschiedenen Dachformen in Hartdeckung, Baudekor, Freitreppen, historische Ausstattung; Einfriedung","Geschichtlich, Künstlerisch, Städtebaulich","Wohnhaus, Einfriedung ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/44763.jpg
44764,Bauliche Anlage,Kreis Stormarn,Großhansdorf,Hansdorfer Landstraße 127,Wohnhaus,"Wohnhaus; 1926; eingeschossiger Backsteinbau aus zwei rechtwinklig verschränkten Baukörpern, mit Dachgeschoss in Fachwerk unter Satteldächern in Hartdeckung; gestufte Giebel mit Schmuckfachwerk und Zierausfachungen","Geschichtlich, Künstlerisch, Städtebaulich","Wohnhaus, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/44764.jpg
44769,Bauliche Anlage,Kreis Stormarn,Großhansdorf,Hoisdorfer Landstraße 110,Landhaus Holst,"Landhaus Holst; 1921-22, Bauherr Detlev Holst; eingeschossiger, Ziegelmassivbau unter hohem, ausgebauten Mansarddach und breitem Mittelrisalit unter Mansarddach, dunkel-bunter Ziegel im flämischen Verband","Geschichtlich, Künstlerisch, Städtebaulich","Landhaus Holst, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/44769.jpg
54878,Bauliche Anlage,Kreis Stormarn,Großhansdorf,Jäckbornsweg 20,Villa,"Villa; um 1910; zweigeschossiger, giebel- und traufständigen Putzbau unter variierende Dachformen in Hartdeckung, Balkon- und Verandabauten; Schmuckfachwerk, Fenster mit Oberlicht, Balkongitter in Jugendstilformen.","Geschichtlich, Künstlerisch, Städtebaulich","Villa, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/54878.jpg
20647,Bauliche Anlage,Kreis Stormarn,Großhansdorf,Jäckbornsweg 30 a,Villa,"Villa, 1908; eingeschossiger Putzbau mit Mansarddach mit Kronendeckung, Giebelseiten zweigeschossig mit einfachem Walm,  Risalit und Eingangsvorbau, Gartenfront mit Terrasse und bogenüberwölbter Loggia, im Innern qualitätvolle Ausstattung überliefert","Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/20647.jpg
10823,Bauliche Anlage,Kreis Stormarn,Großhansdorf,Sieker Landstraße 2,Villa Tannenhöft,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/10823.jpg
1449,Bauliche Anlage,Kreis Stormarn,Großhansdorf,Sieker Landstraße 19,Gärtnerhaus der Villa Wulfriede,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
2697,Bauliche Anlage,Kreis Stormarn,Großhansdorf,Sieker Landstraße 19,sog. Villa Wulfriede,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch",Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/2697.jpg
29075,Bauliche Anlage,Kreis Stormarn,Großhansdorf,Wöhrendamm 93 a,ehem. Kutscherhaus,"ehem. Kutscherhaus; 1911, Umbauten 1933, 1951; eingeschossiger Backsteinbau mit reetgedecktem Halbwalmdach, Remisenanbau","Geschichtlich, Städtebaulich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/29075.jpg
10824,Gründenkmal,Kreis Stormarn,Großhansdorf,Sieker Landstraße 2,Arboretum Tannenhöft,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Kulturlandschaftlich","Arboretum Tannenhöft, Teich, Quelle mit Rockery",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/10824.jpg
23818,Gründenkmal,Kreis Stormarn,Großhansdorf,Sieker Landstraße 21,Edelkastanienallee,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich, Wissenschaftlich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/23818.jpg
41129,Sachgesamtheit,Kreis Stormarn,Hamberge,Schulstraße,Kirche Hamberge,Aktualisierung vorgesehen,"Geschichtlich, Künstlerisch, Kulturlandschaftlich, Städtebaulich","Kirche mit Ausstattung, Kirchhof, Grabmale bis 1870, Kirchhofspforte, Lindenreihe",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/41129.jpg
3070,Bauliche Anlage,Kreis Stormarn,Hamberge,Schulstraße,Kirche mit Ausstattung,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/3070.jpg
20801,Gründenkmal,Kreis Stormarn,Hamberge,Schulstraße,Kirchhof,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich","Kirchhof, Grabmale bis 1870, Kirchhofspforte, Lindenreihe",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/20801.jpg
6458,Bauliche Anlage,Kreis Stormarn,Hamfelde,Bullenberg,Pflasterstraße durch die Hahnheide,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/6458.jpg
9185,Bauliche Anlage,Kreis Stormarn,Hamfelde,Schulstraße 27,Kate,"Kate; um 1840 als Wohnhaus eines Tischlers errichtet, um 1910 teilweise Umgestaltung; eingeschossiger, traufständiger Fachwerkbau mit Backsteinausfachung unter reetgedecktem Halbwalmdach; Gartenpavillon","Geschichtlich, Kulturlandschaftlich, Städtebaulich","Kate, Gartenpavillon",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/9185.jpg
13539,Bauliche Anlage,Kreis Stormarn,Hamfelde,Schulstraße 41,Wohnhaus,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Kulturlandschaftlich","Wohnhaus, Ahornallee",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13539.jpg
13540,Bauliche Anlage,Kreis Stormarn,Hamfelde,Schulstraße 41,Nebengebäude,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich",Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/13540.jpg
3097,Bauliche Anlage,Kreis Stormarn,Hohenfelde,Hohenfelde 1,Fachhallenhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
1270,Bauliche Anlage,Kreis Stormarn,Hohenfelde,Hohenfelde 2,Altenteilerhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
47596,Bauliche Anlage,Kreis Stormarn,Hohenfelde,Hohenfelde 4,ehem. Armenhaus,"ehem. Armenhaus, 1. Hälfte 19. Jh., kleiner, weiß verputzter Ziegelbau mit reetgedecktem Walmdach und Rundgaube","Geschichtlich, Städtebaulich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/47596.jpg
3098,Bauliche Anlage,Kreis Stormarn,Hohenfelde,Hohenfelde 9,Fachhallenkate,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
10739,Bauliche Anlage,Kreis Stormarn,Hoisdorf,Bornbek,Hochbehälter Bornbek,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich, Wissenschaftlich",gesamtes Objekt,
8615,Bauliche Anlage,Kreis Stormarn,Hoisdorf,Dorfstraße 10,Schullandheim,"Fachhallenhaus; 1856, später umgebaut; stattlicher eingeschossiger Zweiständer-Fachwerkbau mit reetgedecktem Halbwalmdach, erstes Schullandheim Deutschlands","Geschichtlich, Städtebaulich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/8615.jpg
1264,Bauliche Anlage,Kreis Stormarn,Jersbek,Allee 1,Gut Jersbek: Eiskeller mit Schleifweg,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1264.jpg
6951,Bauliche Anlage,Kreis Stormarn,Jersbek,Allee 1,Gut Jersbek: Wohnhaus (Heilmann'sches Haus),Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
1450,Bauliche Anlage,Kreis Stormarn,Jersbek,Allee 2,Gut Jersbek: Kate,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
1451,Bauliche Anlage,Kreis Stormarn,Jersbek,Allee 4,Gut Jersbek: Wohnhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
1263,Bauliche Anlage,Kreis Stormarn,Jersbek,Allee 6,Gut Jersbek: Verwalterhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1263.jpg
1266,Bauliche Anlage,Kreis Stormarn,Jersbek,Allee 6,Gut Jersbek: Kuhhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
6950,Bauliche Anlage,Kreis Stormarn,Jersbek,Allee 6,Gut Jersbek: Remise,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
1261,Bauliche Anlage,Kreis Stormarn,Jersbek,Allee 8,Gut Jersbek: Herrenhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1261.jpg
1262,Bauliche Anlage,Kreis Stormarn,Jersbek,Allee 10,Gut Jersbek: Kutschpferdestall,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1262.jpg
1295,Bauliche Anlage,Kreis Stormarn,Jersbek,Allee 12 - 16,Gut Jersbek: Torhaus mit Nebenbauten,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1295.jpg
6418,Bauliche Anlage,Kreis Stormarn,Jersbek,Alte Dorfstraße 5,Gut Jersbek: Landarbeiter-Doppelkate,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
22116,Bauliche Anlage,Kreis Stormarn,Jersbek,Alte Dorfstraße 5 - 7,Gut Jersbek: Stallgebäude,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
6419,Bauliche Anlage,Kreis Stormarn,Jersbek,Alte Dorfstraße 7,Gut Jersbek: Landarbeiter-Doppelkate,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
6420,Bauliche Anlage,Kreis Stormarn,Jersbek,Alte Dorfstraße 9,Gut Jersbek: Landarbeiter-Doppelkate,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
22117,Bauliche Anlage,Kreis Stormarn,Jersbek,Alte Dorfstraße 9,Gut Jersbek: Stallgebäude,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
6421,Bauliche Anlage,Kreis Stormarn,Jersbek,Am Wischhof 18,ehem. Schusterkate,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Städtebaulich","ehem. Schusterkate, vier Linden vor dem Haus",
28441,Bauliche Anlage,Kreis Stormarn,Jersbek,Am Wischhof 18,Stallgebäude,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
1265,Gründenkmal,Kreis Stormarn,Jersbek,Allee,Gut Jersbek: Barockgarten,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich","Gut Jersbek: Barockgarten, Hauptgartenallee, Bassin in der Hauptachse",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1265.jpg
1268,Gründenkmal,Kreis Stormarn,Jersbek,Allee,Gut Jersbek: Grabanlage von Cossel,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1268.jpg
1452,Gründenkmal,Kreis Stormarn,Jersbek,Allee,Gut Jersbek: Gartenskulpturen,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch",gesamtes Objekt,
4010,Gründenkmal,Kreis Stormarn,Jersbek,Allee,Gut Jersbek: Jersbeker Allee,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/4010.jpg
6920,Gründenkmal,Kreis Stormarn,Jersbek,Allee,Ehrenmalanlage Jersbek,"Ehrenmalanlage an der Jersbeker Allee, 1919/1920 nach Entwurf des Kieler Architekten Ernst Prinz angelegt für die Gefallenen des 1. und 2. Weltkriegs","Geschichtlich, Kulturlandschaftlich","Ehrenmalanlage Jersbek, zentraler Gedenkstein, Lindenkranz auf Fliederwall, drei Knickeichen, 68 Namenssteine, Findling",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/6920.jpg
12781,Bauliche Anlage,Kreis Stormarn,Klein Wesenberg,Alte Dorfstraße 20,Wohn- und Wirtschaftsgebäude,"Wohn- und Wirtschaftsgebäude; 2. Hälfte 19. Jh.; eingeschossiger traufständiger Ziegelbau mit pfannengedecktem Satteldach und zweigeschossigem Zwerchhaus, nach Südosten eingeschossiger Stallanbau, Ziermauerwerk an den Giebelseiten; mit Lindenreihe","Geschichtlich, Kulturlandschaftlich","Wohn- und Wirtschaftsgebäude, Lindenreihe",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/12781.jpg
8618,Bauliche Anlage,Kreis Stormarn,Klein Wesenberg,Am Kirchberg,Kirche mit Ausstattung,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Künstlerisch, Städtebaulich",gesamtes Objekt,https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/8618.jpg
1277,Bauliche Anlage,Kreis Stormarn,Lasbek,Gut Krummbek 3,Gut Krummbek: Herrenhaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/1277.jpg
449,Bauliche Anlage,Kreis Stormarn,Lütjensee,Bahnhofstraße 27,ehem. Zoll- und Posthaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
31303,Bauliche Anlage,Kreis Stormarn,Lütjensee,Hamburger Straße 84,Villa Hohlreiherberg,"Villa Hohlreiherberg; 1909-1910, Architekt Georg Henry Grell, für Max und Henny Nonne; zweigeschossiger Putzbau über Sockelgeschoss unter ausgebautem Mansarddach in Hohlpfannendeckung, mittiger Eingang mit Säulenportikus und Zwerchhaus, halbrunde Gartenveranda, angebautes Gärtnerhaus und Wintergarten","Geschichtlich, Künstlerisch, Kulturlandschaftlich","Villa Hohlreiherberg, Park mit historischer Vegetation, Trockenmauer und Rondell, Solitäre (Buchen)",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/31303.jpg
6401,Bauliche Anlage,Kreis Stormarn,Mönkhagen,Dorfstraße 45,Hof Mönkhagen: Gutshaus,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
7290,Bauliche Anlage,Kreis Stormarn,Neritz,Nordseite der B 75,Meilenstein,Alteintragung (Aktualisierung vorgesehen),"Geschichtlich, Kulturlandschaftlich, Wissenschaftlich",gesamtes Objekt,
5290,Bauliche Anlage,Kreis Stormarn,Pölitz,Schäperbarg,Granitquaderbrücke,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),
52695,Sachgesamtheit,Kreis Stormarn,"Reinbek, Stadt",Berliner Straße 4,Gemeindezentrum Nathan-Söderblom-Kirche,"Gemeindezentrum Nathan-Söderblom-Kirche; 1966-1968, Architekt Friedhelm Grundmann; Ensemble aus Kirche mit Glockenturm, Gemeindehaus und umgebender Freifläche","Geschichtlich, Künstlerisch, Städtebaulich","Nathan-Söderblom-Kirche mit Glockenturm, Gemeindehaus, Freifläche",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/52695.jpg
38556,Sachgesamtheit,Kreis Stormarn,"Reinbek, Stadt","Hamburger Straße 23, 23-25, 25",Villenensemble Westphalen,"Villenensemble Westphalen; Ende 19. Jh., 1904; Ensemble aus Villa, Kutscherhaus und großem Park. Villa (ehem. Villa Mickerts) Ende 19. mit Umbauten 1904 und 1922, zweigeschossiger Putzbau mit Turmvorbau, Walmdach sowie Lisenen- u. Rundbogengliederung. Kutscherhaus um 1904, Backsteinbau mit historisierendem Fachwerk, heute verändert. Villenpark naturalistischer Landschaftsgarten mit heimischen Laubgehölzen, Koniferen und umfangreichem Rhododendronbestand","Geschichtlich, Städtebaulich","Villa (Hamburger Straße 25), Pferdestall mit Kutscherwohnung (Hamburger Straße 23), Villenpark (Hamburger Straße 23-25)",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/38556.jpg
29130,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Bahnhofstraße 3,Wohn- und Geschäftshaus H. Rathmann,"Wohn- und Geschäftshaus; um 1930; zweigeschossiger Backsteinbau mit Satteldach und durch zweifache Abstufung betonte Giebel, Fassadengliederung durch Gesimse, im Erdgeschoss Ladenzone mit zwei Ladentüren mit Oberlicht und Laterne und schmalen Wandflächen mit Bänderung","Geschichtlich, Städtebaulich","Wohn- und Geschäftshaus H. Rathmann, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/29130.jpg
43798,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Bahnhofstraße 15,Fürst-Bismarck-Apotheke,"Fürst-Bismarck-Apotheke; 1890, umgebaut 1926 Architekturbüro Jacob & Ameis; gestaltete Schaufront der Apotheke, Verkaufsraum mit Stuckdecke, Steinfußboden; historische Ausstattung","Geschichtlich, Künstlerisch, Städtebaulich","Fürst-Bismarck-Apotheke, ",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/43798.jpg
22318,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Bahnsenallee 16,ehem. Villa Ertel,Alteintragung (Aktualisierung vorgesehen),,Alteintragung (Aktualisierung vorgesehen),https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/22318.jpg
44605,Bauliche Anlage,Kreis Stormarn,"Reinbek, Stadt",Berliner Straße 4,Nathan-Söderblom-Kirche,"Nathan-Söderblom-Kirche; 1966-1967, Architekt Friedhelm Grundmann; kubischer, nahezu fensterloser Bau mit Verkleidung aus roten Backsteinen, mit freistehendem Glockenturm","Geschichtlich, Künstlerisch, Städtebaulich","Nathan-Söderblom-Kirche, Glockenturm",https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/44605.jpg
