time,GANK03,GUEB03,durchschnittliche_aufenthaltsdauer
2014,5147,32850,6.382358655527492
2015,8714,41724,4.788156988753729
2016,13444,54582,4.0599523951205
2017,24469,98642,4.031304916424864
2018,24020,98813,4.113780183180682
2019,23151,99602,4.302276359552503
2020,13619,66696,4.897275864600926
2021,12393,71487,5.768336964415396
2022,20820,95705,4.596781940441883
2023,20221,102156,5.051975668859106
2024,18371,96437,5.249414838604322
