model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.016581953265778705,0.11132859976061593,0.27882599580712786,0.0951048951048951,0.11740041928721175
GPT-4o,0.00478388047215613,0.07308757778679653,0.23684210526315788,0.07900677200902934,0.12255639097744361
Gemini,0.0010291991782757286,0.05661317579714417,0.16968234821069564,0.05472837022132797,0.08443908323281062
Grok,0.010543881213139832,0.10175739057734862,0.2918486171761281,0.09686817188638018,0.1200873362445415
Claude,0.01141174378381053,0.08928913356701342,0.2773167358229599,0.10034602076124569,0.11687413554633472
