,count,mean,std,min,25%,50%,75%,max
Hauptprobenummer,2.0,201700572.0,0.0,201700572.0,201700572.0,201700572.0,201700572.0,201700572.0
Ergebnis_num,1.0,6000.0,,6000.0,6000.0,6000.0,6000.0,6000.0
