model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.012965493474012343,0.08166222610729061,0.1704297159504734,0.05393586005830904,0.07356154406409324
GPT-4o,0.0008135872269213481,0.03992989775113947,0.12229299363057325,0.042498937526561836,0.07898089171974522
Gemini,0.0018749586594939494,0.049748548104146285,0.1230896323833127,0.04051260851591567,0.07269723254853365
Grok,0.0025113712652696228,0.06308609308268048,0.15257048092868988,0.05145228215767635,0.07711442786069651
Claude,0.0076034317185261395,0.06907063622352326,0.14753481369966126,0.052730696798493404,0.06925103500188182
