model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.02052448187276902,0.09206084770761071,0.19390581717451524,0.07683168316831683,0.1076375148397309
GPT-4o,0.009811012886402518,0.07130934103883561,0.17150170648464166,0.058070025619128954,0.1143344709897611
Gemini,0.005770324448363184,0.06249369786958688,0.15364120781527532,0.05244444444444444,0.09413854351687388
Grok,0.012824455300950706,0.08958822030842227,0.22366710013003904,0.07982646420824296,0.12050281751192027
Claude,0.0224359255501535,0.09312364133245475,0.19015908250092492,0.06590151795631248,0.1028486866444691
