Tabelle__42111_0021
""
""
""
""
""
""
Auslandsumsatz mit dem sonstigen Ausland
Tsd. EUR
269504137
309222229
333904350
343470808
261873556
325209189
360584702
383878397
394510753
393033163
411215472
403098837
425155846
431406853
433938974
389500093
439079224
509790584
503143980
484177145
82908559
96416291
104634238
104079108
78221499
95556579
104814186
105590941
104524975
107364585
110413175
109904056
120041167
124544580
118477364
109269923
131404528
152123571
143095546
133434267
162321973
186252997
200116323
207464943
156453009
201191620
224093315
244665957
255263332
249687427
264012721
255329734
264688143
266409240
273017840
239257298
261299826
301182295
305041945
295452231
5190288
5631695
5927916
6090530
5123985
5505083
6278028
6421169
6837249
7227344
7960562
8139867
9168670
8715929
8663945
8250410
9511202
10745382
9947290
9709979
17738927
19422538
21444053
21330640
19334969
21322396
22988025
24871730
25712093
27065660
27538615
28474800
29677599
30036647
32121600
30474241
33901486
36738928
38550802
38527795
1344390
1498708
1781822
4505586
2740096
1633514
2411150
2328600
2173103
1688146
1290406
1250382
1580270
1700457
1658223
2248223
2962182
9000410
6508396
7052871
187276
223213
240388
228584
318177
396856
360137
384299
368444
344036
323931
311412
320557
300396
408785
564066
299459
379859
357057
388744
269316863
308999015
333663963
343242222
261555380
324812332
360224564
383494097
394142308
392689126
410891538
402787425
424835289
431106453
433530190
388936028
438779765
509410727
502786923
483788402
""
""
""
""
