variable,anzahl_auspraegungen
statistics_label,1
time_code,1
time_label,1
1_variable_code,2
1_variable_label,2
1_variable_attribute_label,1
2_variable_code,1
2_variable_label,1
2_variable_attribute_code,3
2_variable_attribute_label,3
value_unit,1
value_variable_code,1
value_variable_label,1
