,statistics_code,1_variable_attribute_code,value
count,6.0,6.0,6.0
mean,12411.0,4736732.0,31185.333333333332
std,0.0,5178462.637944663,12080.928981939538
min,12411.0,9464.0,23093.0
25%,12411.0,9464.0,23241.0
50%,12411.0,4736732.0,23685.0
75%,12411.0,9464000.0,41004.75
max,12411.0,9464000.0,46778.0
