variable,count,mean,std,min,25%,50%,75%,max
statistics_code,6.0,12411.0,0.0,12411.0,12411.0,12411.0,12411.0,12411.0
1_variable_attribute_code,6.0,4736732.0,5178462.637944663,9464.0,9464.0,4736732.0,9464000.0,9464000.0
value,6.0,31185.333333333332,12080.928981939538,23093.0,23241.0,23685.0,41004.75,46778.0
