model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.03595311601900938,0.1535122830460065,0.3814367450731087,0.1464035646085296,0.1996185632549269
GPT-4o,0.034081809299407836,0.1297920224628328,0.3762237762237762,0.14145658263305322,0.22097902097902097
Gemini,0.005064527616660646,0.08537198251716516,0.24319419237749548,0.08545454545454545,0.14700544464609802
Grok,0.028394386852006483,0.14354074754226998,0.4422253922967189,0.16999999999999998,0.2325249643366619
Claude,0.02621881523189407,0.13788758805331536,0.3700547778454047,0.13040828762949422,0.19111381618989653
