model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.014384345578050628,0.0920595079479192,0.18169161155586494,0.06548241030999652,0.09397841977027496
GPT-4o,0.00330778224757546,0.05400096031566913,0.1325626204238921,0.04473582722715002,0.0832369942196532
Gemini,0.003407298921321259,0.05895523103431452,0.13771760154738877,0.051103368176538905,0.08201160541586072
Grok,0.009160845349725727,0.08317363021802235,0.178348623853211,0.07271391847227324,0.09394495412844035
Claude,0.014399547884892018,0.08237225572300723,0.17505610772683555,0.06352261790182867,0.08720743828150049
