Einheit_clean,Anzahl,Anteil
Bq/kg(TM),41,0.3942307692307692
ng/kg,32,0.3942307692307692
mg/kg,12,0.3942307692307692
KbE/g,7,0.3942307692307692
µg/kg,7,0.3942307692307692
%,2,0.3942307692307692
Fehlend,1,0.3942307692307692
g/100 g,1,0.3942307692307692
s,1,0.3942307692307692
