Variable,n,n_na,n_non_na,n_unique,mean,sd,min,q1,median,q3,max
Ergebnis_num,40,37,3,3,52038.711,90033.13592337303,0.133,58.0665,116,78058,156000
Hauptprobenummer_num,40,0,40,1,202000065,0,202000065,202000065,202000065,202000065,202000065
