model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.015640267540704238,0.08768008189524536,0.20153783893160665,0.07209396516808424,0.10926750303520842
GPT-4o,0.004432779489443493,0.06920777053747536,0.2031746031746032,0.07262823422605538,0.12244897959183675
Gemini,0.0038216982213144946,0.06032869136824938,0.14882032667876588,0.0544959128065395,0.09165154264972777
Grok,0.011139269351813743,0.0927584720236418,0.23422644770959378,0.09342560553633218,0.11927398444252377
Claude,0.018605894771847972,0.0917964909033814,0.21261682242990654,0.07794232268121591,0.10903426791277257
