variable,Besuche,Besucher,Anteil_Besuche_mit_Cookies,Anteil_Besucher_mit_Cookies,Besuchsh__ufigkeit,Seitenaufrufe,Seiten_pro_Besuch,Bounce_Rate,Zeit_im_Besuch_sec,Bounce_Zeit_sec
Besuche,1,0.9978450397856263,-0.3434895420750387,-0.3241517889549741,0.1420028559635937,0.8276622192632258,0.5057063402041783,-0.5515639014007915,0.8813507057707362,0.40367114118957886
Besucher,0.9978450397856263,1,-0.36206588189377575,-0.34476403081787954,0.1468786034341016,0.835932028294757,0.5196493833195751,-0.5648891023454159,0.8741654133264518,0.3866279602813971
Anteil_Besuche_mit_Cookies,-0.3434895420750387,-0.36206588189377575,1,0.9976184057567836,-0.2413887223560345,-0.5256673001800253,-0.6370753817012952,0.7126078604699678,-0.22832181696586556,0.057895893371647016
Anteil_Besucher_mit_Cookies,-0.3241517889549741,-0.34476403081787954,0.9976184057567836,1,-0.29511245738334024,-0.5239836462692786,-0.6460964328637795,0.7202655023007639,-0.20167258972519048,0.08734991318676498
Besuchsh__ufigkeit,0.1420028559635937,0.1468786034341016,-0.2413887223560345,-0.29511245738334024,1,0.25054994969885286,0.32065081688792346,-0.5354554935267931,0.10908409864178172,-0.03863998147916977
Seitenaufrufe,0.8276622192632258,0.835932028294757,-0.5256673001800253,-0.5239836462692786,0.25054994969885286,1,0.8842749855651165,-0.8558965582557708,0.5677749163653272,-0.08385210631022079
Seiten_pro_Besuch,0.5057063402041783,0.5196493833195751,-0.6370753817012952,-0.6460964328637795,0.32065081688792346,0.8842749855651165,1,-0.9547236333657224,0.24633041151837162,-0.35607290355552507
Bounce_Rate,-0.5515639014007915,-0.5648891023454159,0.7126078604699678,0.7202655023007639,-0.5354554935267931,-0.8558965582557708,-0.9547236333657224,1,-0.321241304228494,0.27094979153012805
Zeit_im_Besuch_sec,0.8813507057707362,0.8741654133264518,-0.22832181696586556,-0.20167258972519048,0.10908409864178172,0.5677749163653272,0.24633041151837162,-0.321241304228494,1,0.7183368707664297
Bounce_Zeit_sec,0.40367114118957886,0.3866279602813971,0.057895893371647016,0.08734991318676498,-0.03863998147916977,-0.08385210631022079,-0.35607290355552507,0.27094979153012805,0.7183368707664297,1
