variable,n,mean,sd,min,p25,median,p75,max
Besuche_num,30,2734.866666666667,791.2824916609715,1463,1884.5,3070.5,3325.5,4149
Besucher_num,30,2287.5,615.6852504211928,1286,1619.25,2557.5,2722.5,3358
