cat_label,gesamt_wert,mittelwert_pro_jahr
1 Raum,6,0.5454545454545454
7 oder mehr Räume,32,2.909090909090909
6 Räume,47,4.2727272727272725
5 Räume,46,4.181818181818182
4 Räume,51,4.636363636363637
3 Räume,68,6.181818181818182
2 Räume,35,3.1818181818181817
