model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.01954397711780109,0.1092572715526706,0.25749915739804513,0.09173693086003373,0.12200876306033032
GPT-4o,0.006194986432157122,0.06577174340702736,0.20656584286241236,0.07604282022886674,0.12615271117668755
Gemini,0.005944380690509997,0.07257358860366277,0.1919229344201556,0.06970708194289953,0.11633938495739163
Grok,0.00996752449240601,0.08897902316826684,0.24828581739444244,0.08450704225352113,0.13063875857091303
Claude,0.012921748013056473,0.0840928032990856,0.23557528166609765,0.08882815169115135,0.1194947080914988
