Spalte,Anzahl_fehlend,Anteil_fehlend
Name,1,0.0714
Kommune_Stadt,0,0.0
Stra_e_Hausnummer,0,0.0
Postleitzahl_Ort,0,0.0
Telefon,0,0.0
Telefax,2,0.1429
E_Mail,1,0.0714
