kategorie,haeufigkeit,anteil_an_alle_objekte,anteil_an_validen_objekten
Geschichtlich,211,0.6098265895953757,0.9906103286384976
Städtebaulich,125,0.6098265895953757,0.9906103286384976
Kulturlandschaftlich,91,0.6098265895953757,0.9906103286384976
Künstlerisch,91,0.6098265895953757,0.9906103286384976
Wissenschaftlich,24,0.6098265895953757,0.9906103286384976
Technisch,7,0.6098265895953757,0.9906103286384976
