vis_index,icc_type,icc_value,F,pval,ci95_lower,ci95_upper
0,ICC2,0.20398009950248747,3.676240208877282,0.016026767946762995,0.0,0.68
1,ICC2,0.10076530612244891,4.319327731092427,0.007924926333742801,-0.0,0.49
2,ICC2,0.05660377358490541,2.0122699386503,0.12058692637857725,-0.02,0.41
