model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.028292745761662248,0.10977244973319433,0.25137614678899084,0.09917355371900827,0.12477064220183487
GPT-4o,0.005667060402681471,0.07020564809275795,0.22450080949811116,0.075634792004322,0.14463032919589855
Gemini,0.005808459735584158,0.06535109211638816,0.17206585236325014,0.06060606060606061,0.11046202867764207
Grok,0.0118070172797696,0.09412681437213136,0.25678496868476,0.09822361546499478,0.1409185803757829
Claude,0.01471580758536446,0.09814962192066569,0.2788956481048198,0.11147540983606558,0.13008890968647638
