Zeitreihe_f_r_Tappendorf
"Anzahl der genehmigten Wohnungen insgesamt 
 (Neubau und Baumaßnahmen)"
2 
4 
4 
3 
4 
1 
4 
- 
- 
- 
- 
- 
- 
1 
- 
1 
- 
1 
1 
- 
- 
2 
1 
- 
10 
""
""
""
""
