,count,mean,std,min,25%,50%,75%,max
statistics_code,74.0,31121.0,0.0,31121.0,31121.0,31121.0,31121.0,31121.0
time,74.0,2019.1351351351352,3.1766456174317916,2014.0,2016.25,2019.0,2022.0,2024.0
1_variable_attribute_code,74.0,9184135.0,0.0,9184135.0,9184135.0,9184135.0,9184135.0,9184135.0
value,74.0,7.702702702702703,9.292403333832574,-2.0,2.0,4.0,9.0,45.0
