model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.036797632485154386,0.14523211089646515,0.30113636363636365,0.12796208530805686,0.14772727272727273
GPT-4o,0.022865896242397002,0.1014745495463967,0.29707112970711297,0.1068062827225131,0.16527196652719667
Gemini,0.0030844852334173567,0.06568778979907265,0.18358662613981763,0.06451612903225806,0.09969604863221884
Grok,0.023792978416782757,0.12919084654726432,0.33418497700562083,0.1278772378516624,0.16351558507920286
Claude,0.028317524337575044,0.12817346748554231,0.2804494382022472,0.09896536212325686,0.14202247191011233
