Kulturdenkmaltyp,Anzahl,Anteil_%
Bauliche Anlage,282,76.01
Gründenkmal,54,14.56
Sachgesamtheit,27,7.28
Mehrheit von baulichen Anlagen,5,1.35
Sonstiges Denkmal,2,0.54
Teil Einer Baulichen Anlage,1,0.27
