model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.01881377741805693,0.151746460704969,0.25147058823529417,0.08541973490427099,0.09852941176470588
GPT-4o,0.009468752863771822,0.07468186531518159,0.17547169811320756,0.05860113421550095,0.12075471698113208
Gemini,0.019339937144897054,0.10164661895061525,0.19100091827364554,0.0735970561177553,0.11753902662993573
Grok,0.011701378531933778,0.09617924018107764,0.221606648199446,0.0666049953746531,0.11819021237303785
Claude,0.015765620798630954,0.10791839151524069,0.18113207547169807,0.05593348450491308,0.10113207547169813
