model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.01155081790602971,0.08246899136731735,0.1896649630891539,0.06988636363636364,0.09937535491198182
GPT-4o,0.004042017254113668,0.060031223944187265,0.1762936221419976,0.07104154124021674,0.10649819494584838
Gemini,0.00028824917615450914,0.03880609719153151,0.10244698205546492,0.04048318641854391,0.05546492659053834
Grok,0.008207331671096019,0.0801382854759229,0.20455873758036236,0.07602339181286549,0.10695499707773232
Claude,0.011210172997822707,0.07735815752492024,0.1851028349082824,0.07119021134593993,0.10283490828237911
