model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.007818479315131773,0.08297866075645123,0.2061526168597683,0.05357856857257097,0.0743108270075909
GPT-4o,0.00021255288646168858,0.04612942388674848,0.16233470132238942,0.043815609310816975,0.08207934336525308
Gemini,0.0014104343644964217,0.06289502434183723,0.16753472222222224,0.044309296264118156,0.06770833333333334
Grok,0.003002027517712866,0.07265057289727685,0.19027484143763213,0.055014811680067714,0.07695560253699787
Claude,0.015231467652894737,0.08510964323131634,0.22850844966936076,0.075,0.09625275532696546
