kennzahl,anzahl,mittelwert,stdabw,minimum,median,maximum
Besuche,30.0,2734.866666666667,791.2824916609716,1463.0,3070.5,4149.0
Besucher,30.0,2287.5,615.6852504211928,1286.0,2557.5,3358.0
