einheit,anzahl,anteil
Bq/kg(TM),41,0.3942307692307692
ng/kg,32,0.3076923076923077
mg/kg,12,0.11538461538461539
KbE/g,7,0.0673076923076923
µg/kg,7,0.0673076923076923
%,2,0.019230769230769232
Unbekannt,1,0.009615384615384616
g/100g,1,0.009615384615384616
s,1,0.009615384615384616
