model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.00994967395271007,0.08845997643099825,0.21181887950882577,0.05683563748079876,0.08749040675364544
GPT-4o,0.0004665145310495606,0.04752640280468811,0.16437177280550774,0.04392764857881137,0.08003442340791737
Gemini,0.002053243380719781,0.06444586945984256,0.17506193228736583,0.042975206611570255,0.06523534269199009
Grok,0.0029792883431233974,0.07282831493597988,0.18302277432712213,0.05387484459179445,0.07701863354037267
Claude,0.007332782657099904,0.07547612031888337,0.2317629179331307,0.0661596958174905,0.07598784194528875
