Methode,Anzahl,Nicht_na,Anteil_na,Minimum,p25,Median,Mittelwert,p75,Maximum
Gammaspektrometrie (fest - TM),42,4,0.9047619047619048,7.17,13.7925,166.5,62585.0425,62737.75,250000
HPLC-MS/MS,1,1,0,0.005,0.005,0.005,0.005,0.005,0.005
"Mikroskopie, IAG",1,1,0,0,0,0,0,0,0
VDLUFA 16.8.1,18,18,0,0.001,0.001,0.001,0.16727777777777778,0.25,1.5
VDLUFA Mibi,8,8,0,2,3762.5,5000,540006.5,93750,4000000
"VO (EG) 152/2009, Anh. III, A",1,1,0,9.2,9.2,9.2,9.2,9.2,9.2
"VO (EU) Nr. 278/2012, HRGC-MS",32,32,0,0.01,0.0675,0.15,1.0771875,0.31,17.51
Verbotene Stoffe 767/2009,1,1,0,0,0,0,0,0,0
