variable,n,mean,sd,min,q25,median,q75,max
kenn,364,96761181,0,96761181,96761181,96761181,96761181,96761181
value,364,0.1075,0.008651024239110357,0.093,0.099,0.111,0.115,0.126
duration,364,1,0,1,1,1,1,1
