model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.01754716070329249,0.10153661063404945,0.24005631819781767,0.10073969707643536,0.12671594508975711
GPT-4o,0.01078386044016051,0.0747393064871517,0.21718464351005484,0.08562019758507135,0.1235831809872029
Gemini,0.005214488387640201,0.0742243782227058,0.19239543726235742,0.076103500761035,0.12167300380228137
Grok,0.007555075122283518,0.08379586957093078,0.23212280044926994,0.09142000749344324,0.12504679895170348
Claude,0.019999974478609555,0.0936843320541187,0.22855250082808876,0.08949287371561153,0.12123219609142102
