model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.018748010178183182,0.11017803178577275,0.26612355736591986,0.09714673913043478,0.12559402579769177
GPT-4o,0.00959920876760707,0.07126907534647726,0.21359223300970873,0.077725800647715,0.125854009349155
Gemini,0.0060674289604801665,0.0725192927423143,0.19142645971914263,0.07026627218934911,0.11825572801182556
Grok,0.01302412206568426,0.09954853484769102,0.26614620298083747,0.08664772727272728,0.1270404542228531
Claude,0.016763426452692645,0.09257347142160385,0.24262512429565794,0.08888888888888889,0.1166721909181306
