model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.017797482977418986,0.11529115534070968,0.2783216783216783,0.0986703988803359,0.11888111888111887
GPT-4o,0.0045922264747336235,0.0728974234442891,0.23867069486404835,0.0816326530612245,0.1268882175226586
Gemini,0.0003510142727222239,0.049640450490763675,0.16438356164383564,0.05484004985459077,0.08219178082191782
Grok,0.00810845144432198,0.09271994255618965,0.2819940476190476,0.09456440804169768,0.12202380952380955
Claude,0.013630459208287819,0.09000831324511895,0.2720215997300034,0.09793988517392772,0.11272359095511307
