model,bleu,meteor,rouge1,rouge2,rougeL
GPT-5,0.017957745268141968,0.10361562872377195,0.2360724233983287,0.07735191637630663,0.11977715877437325
GPT-4o,0.011466464949247385,0.0782398751272509,0.2175700934579439,0.07931163486719041,0.12934579439252336
Gemini,0.007469752010768411,0.08051012775134041,0.19708588957055215,0.07060629316960859,0.1196319018404908
Grok,0.012212034385160922,0.09924972786874879,0.24141833270463975,0.08305020762551907,0.13353451527725388
Claude,0.015503994875211743,0.0897759226759638,0.2297486033519553,0.07896575821104124,0.12081005586592179
