value_variable_label,count,mean,std,min,median,max
Gästeankünfte in Beherbergungsbetrieben,11,16760.81818181818,6508.232537612371,5147,18371.0,24469
Gästeübernachtungen in Beherbergungsbetrieben,11,78063.09090909091,25760.145703992224,32850,95705.0,102156
