Jahr,Durchschnittliche Aufenthaltsdauer
2014,6.382358655527492
2015,4.788156988753729
2016,4.0599523951205
2017,4.031304916424864
2018,4.113780183180682
2019,4.302276359552503
2020,4.897275864600926
2021,5.768336964415396
2022,4.596781940441883
2023,5.051975668859106
2024,5.249414838604322
