Zeitreihe_f_r_Schleswig_Holstein
Ausfuhr insgesamt in 1 000 Euro
18267896 
14814088 
18262210 
18292031 
18824622 
18973845 
19632360 
19605989 
20106281 
21999530 
21321769 
20925661 
21473024 
22979694 
28637741 
28684904 
27069955 
""
""
Daten im Februar 2025 revidiert. Im Januar 2025 hat das Statistische Bundesamt das Zuschätzverfahren für Antwortausfälle und Befreiungen in der Außenhandelsstatistik modernisiert. Wegen der Vergleichbarkeit waren auch Revisionen der Jahre 2022 und 2023 erforderlich.
""
